;pollutant_id;pollutant_averaging;date;pollutant_value;pollutant_unit;station_id;X;Y;ID_estacion;method_id
5492;NO2;1;05/01/2018 0:00;25;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5493;NO2;1;05/01/2018 1:00;23;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5494;NO2;1;05/01/2018 2:00;23;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5495;NO2;1;05/01/2018 3:00;23;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5496;NO2;1;05/01/2018 4:00;32;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5497;NO2;1;05/01/2018 5:00;57;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5498;NO2;1;05/01/2018 6:00;68;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5499;NO2;1;05/01/2018 7:00;60;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5500;NO2;1;05/01/2018 8:00;45;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5501;NO2;1;05/01/2018 9:00;11;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5502;NO2;1;05/01/2018 10:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5503;NO2;1;05/01/2018 11:00;21;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5504;NO2;1;05/01/2018 12:00;25;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5505;NO2;1;05/01/2018 13:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5506;NO2;1;05/01/2018 14:00;25;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5507;NO2;1;05/01/2018 15:00;40;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5508;NO2;1;05/01/2018 16:00;57;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5509;NO2;1;05/01/2018 17:00;68;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5510;NO2;1;05/01/2018 18:00;74;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5511;NO2;1;05/01/2018 19:00;60;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5512;NO2;1;05/01/2018 20:00;75;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5513;NO2;1;05/01/2018 21:00;57;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5514;NO2;1;05/01/2018 22:00;57;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5515;NO2;1;05/01/2018 23:00;51;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5516;NO2;1;06/01/2018 0:00;45;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5517;NO2;1;06/01/2018 1:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5518;NO2;1;06/01/2018 2:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5519;NO2;1;06/01/2018 3:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5520;NO2;1;06/01/2018 4:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5521;NO2;1;06/01/2018 5:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5522;NO2;1;06/01/2018 6:00;23;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5523;NO2;1;06/01/2018 7:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5524;NO2;1;06/01/2018 8:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5525;NO2;1;06/01/2018 9:00;21;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5526;NO2;1;06/01/2018 10:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5527;NO2;1;06/01/2018 11:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5528;NO2;1;06/01/2018 12:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5529;NO2;1;06/01/2018 13:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5530;NO2;1;06/01/2018 14:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5531;NO2;1;06/01/2018 15:00;11;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5532;NO2;1;06/01/2018 16:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5533;NO2;1;06/01/2018 17:00;13;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5534;NO2;1;06/01/2018 18:00;26;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5535;NO2;1;06/01/2018 19:00;23;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5536;NO2;1;06/01/2018 20:00;5;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5537;NO2;1;06/01/2018 21:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5538;NO2;1;06/01/2018 22:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5539;NO2;1;06/01/2018 23:00;0;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5540;NO2;1;07/01/2018 0:00;15;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5541;NO2;1;07/01/2018 1:00;14;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5542;NO2;1;07/01/2018 2:00;9;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5543;NO2;1;07/01/2018 3:00;12;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5544;NO2;1;07/01/2018 4:00;10;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5545;NO2;1;07/01/2018 5:00;16;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5546;NO2;1;07/01/2018 6:00;18;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5547;NO2;1;07/01/2018 7:00;21;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5548;NO2;1;07/01/2018 8:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5549;NO2;1;07/01/2018 9:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5550;NO2;1;07/01/2018 10:00;19;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5551;NO2;1;07/01/2018 11:00;18;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5552;NO2;1;07/01/2018 12:00;22;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
5553;NO2;1;07/01/2018 13:00;36;ug/m3;UYMVD_E6;579230;6142255;Curva de Maro0s;UYMVD_NO2
